created,min_temp,temp,max_temp,air_pressure,humidity,visibility,wind_direction_compass,wind_direction,wind_speed
2017-03-01T23:12,3.013333333333333,5.973333333333334,7.48,1003.335,76,12.45787103316631,SW,232.9689527667657,7.64574641923964
2017-03-02T23:24,2.555,6.573333333333333,8.063333333333333,1003.685,81,7.579175117314881,SW,231.9654070007403,10.755964456409236
2017-03-03T23:32,1.8716666666666668,4.413333333333333,6.114999999999999,1015.27,78,10.801916805853814,SW,229.11273639508667,6.957407530545614
2017-03-04T23:44,4.735,9.416666666666666,11.551666666666668,1005.7,72,9.431482641374373,SSE,159.16532838171136,7.402609433672684
2017-03-05T23:49,6.808333333333334,10.996666666666668,13.068333333333333,1005.325,69,8.013513580688777,SW,234.69543786746456,5.075731365742729
2017-03-06T21:08,3.051666666666667,6.363333333333333,7.565,999.61,89,7.336529666746202,WNW,286.2844402330994,6.186336820656699
2017-03-07T21:32,2.591666666666667,6.633333333333333,7.68,1011.0350000000001,84,5.9067545534080965,NW,304.59391411762704,3.1567513032503514
2017-03-08T21:47,0.365,3.0233333333333334,5.373333333333334,1025.095,73,12.605446691322674,SW,226.1654611053891,2.841485730175774
2017-03-09T21:58,1.492,4.553333333333334,6.186666666666667,1016.275,85,5.9816297820726945,SSW,203.91788641685446,3.491632747982449
2017-03-10T22:03,1.7016666666666669,5.863333333333333,6.928333333333334,1019.725,79,7.095437644158116,NW,305.1191825431973,3.197409431515947
2017-03-11T22:12,1.8433333333333335,4.97,6.0,1023.26,80,8.268586455102202,NW,317.7328377398346,4.838756164125507
2017-03-12T22:14,2.502,5.4366666666666665,6.353333333333334,1023.725,72,11.820344189930804,NNE,30.734283260017023,6.504243316682573
2017-03-13T22:30,2.0483333333333333,5.226666666666667,6.073333333333333,1027.595,79,9.35753946949813,NNE,13.320104397752578,3.6347028888173067
2017-03-14T22:36,2.4183333333333334,5.0633333333333335,7.613333333333333,1027.825,66,11.676186073331742,W,263.44302848721816,4.139627445025053
2017-03-15T22:39,3.0766666666666667,6.44,8.87,1021.255,70,11.013183011214508,W,276.5989036117,9.636131068315702
2017-03-16T22:53,2.2199999999999998,5.476666666666667,7.19,1019.8,68,12.623777141493676,WNW,286.95470670956445,7.957485813955831
2017-03-17T22:55,2.5766666666666667,7.656666666666666,10.07,1008.885,72,11.460570269625387,SW,230.17600335266462,8.488005352819533
2017-03-18T23:09,2.6950000000000003,4.97,5.9433333333333325,995.8199999999999,84,4.912249960232243,WSW,244.13959477411305,11.53386984927755
2017-03-19T23:21,1.5366666666666668,3.856666666666667,5.33,1005.515,79,10.643156466237174,W,263.21988550427193,10.102953728635436
2017-03-20T23:29,4.078,8.406666666666666,8.945,1006.94,89,5.248411775232642,SSW,210.87278107812202,5.205270235012859
2017-03-21T23:49,6.9750000000000005,10.75,12.236666666666666,1010.0450000000001,84,7.973745824385588,SW,229.4754553406585,6.107593707794481
2017-03-22T23:57,3.5883333333333334,6.713333333333334,8.538333333333334,1020.62,78,11.072834645669293,NE,45.134541749636355,4.662105077341658
2017-03-23T21:12,4.7299999999999995,8.576666666666666,9.981666666666667,1022.8199999999999,63,14.711584347411119,E,86.15215587835654,7.622984500308863
2017-03-24T21:37,2.65,9.363333333333333,11.011666666666665,1028.19,60,13.489968583472521,NNW,328.0462725220689,6.180954666282244
2017-03-25T21:42,1.6066666666666667,7.723333333333334,8.858333333333333,1022.12,58,11.185924202656485,WNW,297.51556492559223,8.793919943623903
2017-03-26T21:47,2.46,7.669999999999999,10.111666666666666,1026.35,62,13.772692475940506,NW,313.458038462414,5.540595409827939
2017-03-27T21:52,5.965,12.863333333333335,14.786666666666667,1022.655,61,10.831431937485087,WNW,286.2453680883696,8.37762665801055
2017-03-28T22:10,6.956666666666666,14.066666666666668,14.118333333333334,1020.05,68,9.0008724051539,W,280.0475141680804,5.793399546811951
2017-03-29T22:24,7.0566666666666675,12.776666666666666,15.416666666666666,1016.03,63,8.746420901932712,W,272.12744592377123,10.687076292499802
2017-03-30T22:25,5.993333333333333,9.133333333333333,9.621666666666668,1027.3200000000002,68,11.519911218484054,W,271.54028222669467,4.070181268053235
2017-03-31T22:33,8.641666666666667,17.763333333333332,18.093333333333334,1021.0799999999999,66,8.230061441183487,WSW,243.23678178887053,6.721457346288342
